p-22,1,1024,64,1,256,skip,10
p-22,2,512,32,64,256,fine,6
p-22,3,256,32,32,256,fine,6
p-22,4,512,8,32,256,fine,5
p-22,5,256,8,64,256,fine,4
p-22,6,256,4,128,256,simple,4
p-24,1,2048,128,1,256,skip,10
p-24,2,1024,32,64,256,fine,6
p-24,3,256,32,32,256,fine,6
p-24,4,512,8,32,256,fine,5
p-24,5,256,8,64,256,fine,4
p-24,6,256,4,128,256,simple,4
p-26,1,8192,128,1,256,skip,10
p-26,2,8192,8,32,256,coarse,6
p-26,3,1024,32,64,256,fine,6
p-26,4,256,32,32,256,fine,6
p-26,5,512,8,32,256,fine,5
p-26,6,256,8,64,256,fine,4
p-26,7,256,4,128,256,simple,4
p-28,1,16384,256,1,256,skip,10
p-28,2,8192,16,32,256,coarse,6
p-28,3,1024,32,32,256,fine,6
p-28,4,256,32,32,256,fine,6
p-28,5,512,8,32,256,fine,5
p-28,6,256,8,64,256,fine,4
p-28,7,256,4,128,256,simple,4
p-30,1,32768,512,1,256,skip,12
p-30,2,16384,16,32,256,coarse,6
p-30,3,2048,32,256,256,fine,6
p-30,4,256,32,32,256,fine,6
p-30,5,512,8,32,256,fine,5
p-30,6,256,8,64,256,fine,4
p-30,7,256,4,128,256,simple,4
